	P2_negative_vs_P2_positive_fold_change_log2	P2_negative_vs_P2_positive_p_value
lauramidopropyl betaine	0.193291723062845	0.516892075360676
5-Sulfo-1,3-benzenedicarboxylic acid	0.0877611718319294	0.709694436189679
eicosa-11,14-dienoic acid	0.00823184626019202	0.977713706004586
N-lauryldiethanolamine	-0.489895812036531	0.143677143865378
vanilpyruvic acid	0.123954750068548	0.548938277040655
2-Chlorohexadecanol	-0.407312231457816	0.178350462397302
phosphocholine	0.0249673117994643	0.908903451066067
3-oxo-heptadecanoic acid	0.261988928279393	0.379473680556373
heptadecanoic acid	0.303442566923741	0.349025056707693
1-O-(2R-hydroxy-pentadecyl)-sn-glycerol	0.309131407639458	0.349434215645832
itaconate(2-)	-0.292898489040776	0.263234995881844
palmitoyl bioconjugate	0.0473853672901552	0.864763836062013
gamma-glutamylcystine	-0.164373717919901	0.478294228773484
1-dodecyl-sn-glycero-3-phosphocholine	0.0517312309392403	0.85521262782309
5-phenylpenta-2,4-dienoic acid	0.392904331718183	0.137910490819296
LSM-5488	0.181695442631998	0.518713507086045
isobutyric acid anhydride	0.100833646065824	0.733176141571237
N-(1,3-benzodioxol-5-yl)-2-[4-(4-chlorophenyl)sulfonyl-1-piperazinyl]acetamide	-0.106528624299338	0.650988559397713
12-Oxo-9-octadecynoic acid	0.338553348305439	0.231788616500125
10-PAHSA(1-)	0.246535179906496	0.384548174831149
benzododecinium	-0.204000388651234	0.455375256609668
7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid	-0.234578394574608	0.45116135264436
1-(alk-1-enyl)-glycero-3-phosphate(2-)	0.299542811218359	0.213602244180347
lauryl acrylate	0.0960337686366183	0.703026291525446
3-oxo-Tetradecanal	0.211455737878262	0.553419215392646
palmitoyl ethanolamide	0.00463881489846523	0.986417598563733
tris(2-butoxyethyl) phosphate	0.0430548165914723	0.862280809108842
stearolic acid	0.171982395893184	0.433380469400737
3,6-dioxocyclohexa-1,4-dien-1-olate	-0.0303786277826926	0.920791636633289
N-[5-(ethylthio)-1,3,4-thiadiazol-2-yl]-4-methylbenzamide	-0.00424015810879303	0.987747280503104
O-stearoylcarnitine	0.157811397061657	0.447451476285394
octaethyleneglycol monododecyl ether	0.0543229093371883	0.853725004844782
4-methoxy-N-(3-methylbutyl)-3-(4-morpholinylsulfonyl)benzamide	0.193309764881803	0.455624616415117
15-methylheneicosane-1,2-diol	0.123395225624232	0.547931862504488
10,11-dihydroxy stearic acid	0.213718745830483	0.292822063764467
8-(methylthio)octylisothiocyanate	-0.381419784796223	0.130223804326009
polidocanol	0.185532069181911	0.501948460148728
nosyl group	0.0802926222985736	0.726879401118049
(carboxymethoxy)succinic acid	-0.321928094887362	0.355917683749582
Hydroxyphenylpyruvic acid	-0.280296577788219	0.365778210614973
N'-[2-(4-iodophenyl)ethyl]carbamimidothioic acid 3-(1H-imidazol-5-yl)propyl ester	0.327082577061361	0.0840097920130432
diphenyl(4-piperidinyl)methanol	-0.101731422996283	0.728277731799651
2-(2-imidazo[1,2-a]pyridinylmethylthio)-6-nitro-1H-benzimidazole	-0.204614652671747	0.288635718576554
N,N,N-Trimethyllysine	-0.0182657123434362	0.931694841661394
2-methylglutaric acid	-0.13639475256265	0.549779774528328
2-Methyl-3-(2',3',4'-trihydroxybutyl)pyrazine	-0.166786862312664	0.566354849830554
4-(phosphonomethyl)-L-phenylalanine	0.167834327923317	0.547622595046722
2-ethyl-3-hydroxybutyric acid	-0.00946975110764641	0.965557293033819
Tetraethylene glycol monododecyl ether	0.0981811990472442	0.750669565840561
N-(3-acetylphenyl)-5,7-dimethyl-2-pyrazolo[1,5-a]pyrimidinecarboxamide	-0.0202279602913322	0.959170742996026
N,N-dihydroxytetrahomomethionine	-0.180356226129284	0.510719838875456
etilamfetamine	-0.086528449223401	0.717651333042942
2-hydroxy-3,4-diphenylpentanedioic acid	-0.0655566829935505	0.777850255078272
tetradecaethylene glycol	-0.17515326010438	0.549800864542292
triethylene glycol monomethyl ether	0.313112634456799	0.356691616993729
3,6,9,12,15,18-Hexaoxadotriacontan-1-ol	-0.0899169891755088	0.770806131529496
2,2-dimethyl-3,6,9,12,15-pentaoxa-2-silahexadecane	0.303921723301833	0.356559222376646
15-crown-5	0.0175493954995357	0.942764821300113
Sesamex	0.163643529835289	0.500367206759168
tetraglyme	0.292803802309381	0.362192697386039
18-crown-6	0.0335415212192343	0.90097332858202
hexaethylene glycol monomethyl ether	-0.000402283529273126	0.998900280324694
panaquinquecol 1	-0.270730057577922	0.272564102248929
1H-indazole-3-carboxylic acid [2-(4-nitroanilino)-2-oxoethyl] ester	-0.311795950195332	0.28528759101204
p-cumate	0.113741786189406	0.591606592215786
ozagrel	0.0861697421137892	0.689436208859657
N-[2-(2-chlorophenoxy)ethyl]-2-(1H-indol-3-yl)-2-oxoacetamide	0.0965200205530653	0.687347420602343
2-(Methylthiomethyl)-3-phenyl-2-propenal	0.0926261886689505	0.684178317778055
BAY11-7085	-0.223353435452881	0.401055474570539
undecan-5-ol	0.207682032235274	0.424242941308601
6-methyl-dodecanedioic acid	0.284592496176298	0.221178383665487
3-methoxy-N-(4-methyl-2-thiazolyl)benzamide	-0.262334458534744	0.443706162104412
dodecanamide	-0.318413509296081	0.284378446941723
N-[(2-fluorophenyl)methylideneamino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide	-0.234171612812952	0.366225435189862
(13Z)-docosen-1-ol	-0.324348678957702	0.212766161092899
Hydroxytetradecadienyl-l-carnitine	0.288027943888385	0.386769368867232
3-oxotetradecanoic acid	-0.285521048828574	0.301688393958143
N,N-dibutyl-2-[[2-(1,3-dioxo-2-isoindolyl)-1-oxoethyl]amino]benzamide	-0.236254121814452	0.335618814064498
3-oxotetradecanedioyl-CoA(5-)	0.0680405899304648	0.805452364681444
